,Permit Creation Date,Revised Cost,Zipcode,Revised_Cost_Range,Low,Very Low,High,Medium,Very High,Extremely High
90,2013-03-22,111277.0,94109.0,High,0,0,1,0,0,0
91,2014-07-08,47000.0,94134.0,Medium,0,0,0,1,0,0
92,2014-08-25,500.0,94103.0,Very Low,0,1,0,0,0,0
93,2015-01-20,111277.0,94117.0,High,0,0,1,0,0,0
94,2015-05-19,50000.0,94127.0,Medium,0,0,0,1,0,0
95,2015-05-29,40000.0,94103.0,Medium,0,0,0,1,0,0
96,2015-11-30,0.0,94116.0,Very Low,0,1,0,0,0,0
97,2016-02-05,40000.0,94112.0,Medium,0,0,0,1,0,0
98,2016-02-17,18000.0,94124.0,Medium,0,0,0,1,0,0
99,2016-03-16,1500000.0,94107.0,Very High,0,0,0,0,1,0
100,2016-03-31,111277.0,94117.0,High,0,0,1,0,0,0
101,2016-04-06,8200.0,94121.0,Low,1,0,0,0,0,0
102,2016-06-16,111277.0,94109.0,High,0,0,1,0,0,0
103,2016-06-24,0.0,94110.0,Very Low,0,1,0,0,0,0
104,2016-07-27,20000.0,94131.0,Medium,0,0,0,1,0,0
105,2016-09-09,9800.0,94132.0,Low,1,0,0,0,0,0
106,2016-09-14,40000.0,94102.0,Medium,0,0,0,1,0,0
107,2016-10-07,6500.0,94124.0,Low,1,0,0,0,0,0
108,2016-10-17,10000.0,94133.0,Low,1,0,0,0,0,0
109,2016-11-23,7500.0,94107.0,Low,1,0,0,0,0,0
110,2016-12-14,20000.0,94133.0,Medium,0,0,0,1,0,0
111,2016-12-22,1.0,94107.0,Very Low,0,1,0,0,0,0
112,2016-12-19,0.0,94131.0,Very Low,0,1,0,0,0,0
113,2017-02-03,18533.0,94110.0,Medium,0,0,0,1,0,0
114,2017-02-08,127180.0,94103.0,High,0,0,1,0,0,0
115,2017-02-10,5000.0,94105.0,Low,1,0,0,0,0,0
116,2017-09-14,10000.0,94134.0,Low,1,0,0,0,0,0
117,2017-03-13,15000.0,94133.0,Medium,0,0,0,1,0,0
118,2017-03-27,500.0,94133.0,Very Low,0,1,0,0,0,0
119,2017-03-28,111277.0,94102.0,High,0,0,1,0,0,0
120,2017-03-30,16000.0,94109.0,Medium,0,0,0,1,0,0
121,2017-03-16,30000.0,94131.0,Medium,0,0,0,1,0,0
122,2017-04-20,25000.0,94110.0,Medium,0,0,0,1,0,0
123,2017-04-27,96000.0,94105.0,Medium,0,0,0,1,0,0
124,2017-05-03,111277.0,94108.0,High,0,0,1,0,0,0
125,2017-05-03,11950.0,94110.0,Medium,0,0,0,1,0,0
126,2017-05-18,22300.0,94123.0,Medium,0,0,0,1,0,0
127,2017-05-18,8640.0,94109.0,Low,1,0,0,0,0,0
128,2017-05-26,50.0,94114.0,Very Low,0,1,0,0,0,0
129,2017-05-26,80000.0,94114.0,Medium,0,0,0,1,0,0
130,2017-05-30,178500.0,94110.0,High,0,0,1,0,0,0
131,2017-05-31,8000.0,94127.0,Low,1,0,0,0,0,0
132,2017-06-01,100000.0,94105.0,Medium,0,0,0,1,0,0
133,2017-06-01,46600.0,94114.0,Medium,0,0,0,1,0,0
134,2017-06-06,45000.0,94109.0,Medium,0,0,0,1,0,0
135,2017-06-07,1600.0,94108.0,Low,1,0,0,0,0,0
136,2017-06-08,100000.0,94103.0,Medium,0,0,0,1,0,0
137,2017-06-20,18000.0,94131.0,Medium,0,0,0,1,0,0
138,2017-06-22,23000.0,94114.0,Medium,0,0,0,1,0,0
139,2017-06-23,8000.0,94122.0,Low,1,0,0,0,0,0
140,2017-06-27,4500.0,94107.0,Low,1,0,0,0,0,0
141,2017-06-27,48000.0,94109.0,Medium,0,0,0,1,0,0
142,2017-06-27,1.0,94102.0,Very Low,0,1,0,0,0,0
143,2017-06-29,800000.0,94158.0,High,0,0,1,0,0,0
144,2017-06-29,1.0,94103.0,Very Low,0,1,0,0,0,0
145,2017-06-30,9800.0,94114.0,Low,1,0,0,0,0,0
146,2017-07-03,1.0,94117.0,Very Low,0,1,0,0,0,0
147,2017-07-05,1.0,94109.0,Very Low,0,1,0,0,0,0
148,2017-07-06,1.0,94115.0,Very Low,0,1,0,0,0,0
149,2017-07-06,111277.0,94109.0,High,0,0,1,0,0,0
150,2017-07-06,1.0,94158.0,Very Low,0,1,0,0,0,0
151,2016-10-25,1.0,94110.0,Very Low,0,1,0,0,0,0
152,2017-05-08,400000.0,94130.0,High,0,0,1,0,0,0
153,2017-07-07,0.0,94114.0,Very Low,0,1,0,0,0,0
154,2017-07-11,18000.0,94131.0,Medium,0,0,0,1,0,0
155,2017-07-11,1.0,94109.0,Very Low,0,1,0,0,0,0
156,2017-07-12,1.0,94110.0,Very Low,0,1,0,0,0,0
157,2017-07-12,1.0,94102.0,Very Low,0,1,0,0,0,0
158,2017-07-12,1.0,94117.0,Very Low,0,1,0,0,0,0
159,2017-07-13,1.0,94131.0,Very Low,0,1,0,0,0,0
160,2017-07-13,1.0,94133.0,Very Low,0,1,0,0,0,0
161,2017-07-13,1.0,94103.0,Very Low,0,1,0,0,0,0
162,2017-07-13,1.0,94110.0,Very Low,0,1,0,0,0,0
163,2017-07-14,1.0,94114.0,Very Low,0,1,0,0,0,0
164,2017-07-14,111277.0,94117.0,High,0,0,1,0,0,0
165,2017-07-14,111277.0,94124.0,High,0,0,1,0,0,0
166,2017-07-17,2500.0,94117.0,Low,1,0,0,0,0,0
167,2017-07-17,0.0,94133.0,Very Low,0,1,0,0,0,0
168,2017-07-18,0.0,94132.0,Very Low,0,1,0,0,0,0
169,2017-07-18,1.0,94122.0,Very Low,0,1,0,0,0,0
170,2017-07-19,1.0,94118.0,Very Low,0,1,0,0,0,0
171,2017-07-20,1.0,94123.0,Very Low,0,1,0,0,0,0
172,2017-07-19,1.0,94114.0,Very Low,0,1,0,0,0,0
173,2017-07-21,1.0,94103.0,Very Low,0,1,0,0,0,0
174,2017-07-21,1.0,94107.0,Very Low,0,1,0,0,0,0
175,2017-07-21,1.0,94110.0,Very Low,0,1,0,0,0,0
176,2017-07-24,100000.0,94107.0,Medium,0,0,0,1,0,0
177,2017-07-24,1.0,94124.0,Very Low,0,1,0,0,0,0
178,2017-07-25,1.0,94121.0,Very Low,0,1,0,0,0,0
179,2017-07-26,1.0,94112.0,Very Low,0,1,0,0,0,0
180,2017-07-26,1.0,94118.0,Very Low,0,1,0,0,0,0
181,2017-07-27,16000.0,94118.0,Medium,0,0,0,1,0,0
182,2017-07-27,1.0,94109.0,Very Low,0,1,0,0,0,0
183,2017-07-27,1.0,94123.0,Very Low,0,1,0,0,0,0
184,2017-07-27,1.0,94122.0,Very Low,0,1,0,0,0,0
185,2017-07-27,1.0,94114.0,Very Low,0,1,0,0,0,0
186,2017-07-28,1.0,94114.0,Very Low,0,1,0,0,0,0
187,2017-07-31,1.0,94110.0,Very Low,0,1,0,0,0,0
188,2017-07-31,1.0,94102.0,Very Low,0,1,0,0,0,0
189,2017-08-01,1.0,94133.0,Very Low,0,1,0,0,0,0
190,2017-08-01,1.0,94110.0,Very Low,0,1,0,0,0,0
191,2017-08-01,1.0,94131.0,Very Low,0,1,0,0,0,0
192,2017-08-01,1.0,94114.0,Very Low,0,1,0,0,0,0
193,2017-08-02,3450000.0,94115.0,Very High,0,0,0,0,1,0
194,2017-08-03,0.0,94115.0,Very Low,0,1,0,0,0,0
195,2017-08-03,1.0,94118.0,Very Low,0,1,0,0,0,0
196,2017-08-03,1.0,94117.0,Very Low,0,1,0,0,0,0
197,2017-08-03,1.0,94107.0,Very Low,0,1,0,0,0,0
198,2017-08-03,6000.0,94134.0,Low,1,0,0,0,0,0
199,2017-08-04,1.0,94103.0,Very Low,0,1,0,0,0,0
200,2017-08-04,0.0,94117.0,Very Low,0,1,0,0,0,0
201,2017-08-07,1.0,94118.0,Very Low,0,1,0,0,0,0
202,2017-08-07,1.0,94123.0,Very Low,0,1,0,0,0,0
203,2017-08-07,1.0,94114.0,Very Low,0,1,0,0,0,0
204,2017-08-08,1.0,94133.0,Very Low,0,1,0,0,0,0
205,2017-08-08,45000.0,94103.0,Medium,0,0,0,1,0,0
206,2017-08-09,15000.0,94109.0,Medium,0,0,0,1,0,0
207,2017-08-10,1.0,94117.0,Very Low,0,1,0,0,0,0
208,2017-08-10,1.0,94109.0,Very Low,0,1,0,0,0,0
209,2017-08-10,25000.0,94123.0,Medium,0,0,0,1,0,0
210,2017-08-10,1.0,94133.0,Very Low,0,1,0,0,0,0
211,2017-08-11,1.0,94124.0,Very Low,0,1,0,0,0,0
212,2017-08-11,20000.0,94103.0,Medium,0,0,0,1,0,0
213,2017-08-14,1.0,94112.0,Very Low,0,1,0,0,0,0
214,2017-08-15,1.0,94107.0,Very Low,0,1,0,0,0,0
215,2017-08-15,1.0,94118.0,Very Low,0,1,0,0,0,0
216,2017-08-15,1.0,94114.0,Very Low,0,1,0,0,0,0
217,2017-08-16,1.0,94111.0,Very Low,0,1,0,0,0,0
218,2017-08-17,1.0,94123.0,Very Low,0,1,0,0,0,0
219,2017-08-18,3500.0,94134.0,Low,1,0,0,0,0,0
220,2017-08-18,1.0,94110.0,Very Low,0,1,0,0,0,0
221,2017-08-18,1.0,94104.0,Very Low,0,1,0,0,0,0
222,2017-08-21,1.0,94107.0,Very Low,0,1,0,0,0,0
223,2017-08-21,1.0,94110.0,Very Low,0,1,0,0,0,0
